bucket,src_venue,tgt_venue,rate
2010-2017,NLP,NLP,0.0
2010-2017,NLP,Vision,0.0
2010-2017,NLP,ML,0.0
2010-2017,Vision,NLP,0.0
2010-2017,Vision,Vision,0.0
2010-2017,Vision,ML,0.0
2010-2017,ML,NLP,0.0007190688058963642
2010-2017,ML,Vision,0.14765628511078155
2010-2017,ML,ML,0.8516246460833221
2018-2021,NLP,NLP,0.0
2018-2021,NLP,Vision,1.0
2018-2021,NLP,ML,0.0
2018-2021,Vision,NLP,0.001712787025638281
2018-2021,Vision,Vision,0.9982872129743617
2018-2021,Vision,ML,0.0
2018-2021,ML,NLP,0.0032435859916105747
2018-2021,ML,Vision,0.5510194127402205
2018-2021,ML,ML,0.44573700126816895
2022-2024,NLP,NLP,0.17316017316017315
2022-2024,NLP,Vision,0.8268398268398268
2022-2024,NLP,ML,0.0
2022-2024,Vision,NLP,0.0021181398448284067
2022-2024,Vision,Vision,0.9978818601551716
2022-2024,Vision,ML,0.0
2022-2024,ML,NLP,0.0
2022-2024,ML,Vision,0.0
2022-2024,ML,ML,0.0
