tgt_topic,total,recent_share,peak_year
26,203,0.9556650246305419,2021
19,474,0.9388185654008439,2023
0,189,0.9259259259259259,2021
9,143,0.916083916083916,2021
18,370,0.9027027027027027,2021
29,2040,0.8901960784313725,2022
7,407,0.8869778869778869,2021
2,469,0.8656716417910447,2021
8,290,0.8655172413793103,2021
5,6731,0.8642103699301739,2023
6,564,0.8457446808510638,2021
28,242,0.8305785123966942,2023
17,5620,0.8281138790035587,2023
10,525,0.8152380952380952,2021
27,562,0.7633451957295374,2022
16,1111,0.7425742574257426,2021
3,726,0.7286501377410468,2021
20,984,0.6890243902439024,2021
13,1723,0.6552524666279744,2021
1,1003,0.5782652043868395,2022
15,367,0.5204359673024523,2021
25,869,0.16570771001150747,2019
21,1312,0.051829268292682924,2013
22,334,0.04790419161676647,2012
14,1229,0.03742880390561432,2012
12,353,0.025495750708215296,2010
24,745,0.012080536912751677,2016
23,1038,0.008670520231213872,2012
11,1430,0.008391608391608392,2017
4,964,0.006224066390041493,2015
